<http://www.ihtsdo.org/SCT_112964009>	[<http://www.ihtsdo.org/SCT_112963003>]
<http://www.ihtsdo.org/SCT_112974007>	[<http://www.ihtsdo.org/SCT_22128006>]
<http://www.ihtsdo.org/SCT_113033004>	[<http://www.ihtsdo.org/SCT_55323000>]
<http://www.ihtsdo.org/SCT_113113000>	[<http://www.ihtsdo.org/SCT_19731001>]
<http://www.ihtsdo.org/SCT_113115007>	[<http://www.ihtsdo.org/SCT_1699009>]
<http://www.ihtsdo.org/SCT_113117004>	[<http://www.ihtsdo.org/SCT_33195004>]
<http://www.ihtsdo.org/SCT_113273001>	[<http://www.ihtsdo.org/SCT_91539005>]
<http://www.ihtsdo.org/SCT_113349007>	[<http://www.ihtsdo.org/SCT_89253005>]
<http://www.ihtsdo.org/SCT_11346008>	[<http://www.ihtsdo.org/SCT_50487004>]
<http://www.ihtsdo.org/SCT_11389007>	[<http://www.ihtsdo.org/SCT_409498004>]
<http://www.ihtsdo.org/SCT_1140008>	[<http://www.ihtsdo.org/SCT_398026008>]
<http://www.ihtsdo.org/SCT_114056000>	[<http://www.ihtsdo.org/SCT_34844008>]
<http://www.ihtsdo.org/SCT_11409005>	[<http://www.ihtsdo.org/SCT_90381008>]
<http://www.ihtsdo.org/SCT_11415005>	[<http://www.ihtsdo.org/SCT_51481005>]
<http://www.ihtsdo.org/SCT_115006>	[<http://www.ihtsdo.org/SCT_234835005>]
<http://www.ihtsdo.org/SCT_115164002>	[<http://www.ihtsdo.org/SCT_422268000>]
<http://www.ihtsdo.org/SCT_11524004>	[<http://www.ihtsdo.org/SCT_13387000>]
<http://www.ihtsdo.org/SCT_11543004>	[<http://www.ihtsdo.org/SCT_232263002>]
<http://www.ihtsdo.org/SCT_11547003>	[<http://www.ihtsdo.org/SCT_31341008>]
<http://www.ihtsdo.org/SCT_1156003>	[<http://www.ihtsdo.org/SCT_9713002>]
<http://www.ihtsdo.org/SCT_115618006>	[<http://www.ihtsdo.org/SCT_311722000>]
<http://www.ihtsdo.org/SCT_11582002>	[<http://www.ihtsdo.org/SCT_20603005>]
<http://www.ihtsdo.org/SCT_115955008>	[<http://www.ihtsdo.org/SCT_125684003>]
<http://www.ihtsdo.org/SCT_11597004>	[<http://www.ihtsdo.org/SCT_24976005>]
<http://www.ihtsdo.org/SCT_116022009>	[<http://www.ihtsdo.org/SCT_276654001>]
<http://www.ihtsdo.org/SCT_116098000>	[<http://www.ihtsdo.org/SCT_372553000>, <http://www.ihtsdo.org/SCT_372642003>]
<http://www.ihtsdo.org/SCT_11610007>	[<http://www.ihtsdo.org/SCT_5651003>]
<http://www.ihtsdo.org/SCT_116133005>	[<http://www.ihtsdo.org/SCT_36138009>]
<http://www.ihtsdo.org/SCT_116142003>	[<http://www.ihtsdo.org/SCT_116140006>]
<http://www.ihtsdo.org/SCT_116152004>	[<http://www.ihtsdo.org/SCT_77477000>]
<http://www.ihtsdo.org/SCT_116175006>	[<http://www.ihtsdo.org/SCT_49209004>]
<http://www.ihtsdo.org/SCT_116239000>	[<http://www.ihtsdo.org/SCT_116237003>]
<http://www.ihtsdo.org/SCT_116643009>	[<http://www.ihtsdo.org/SCT_65802001>]
<http://www.ihtsdo.org/SCT_116644003>	[<http://www.ihtsdo.org/SCT_65802001>]
<http://www.ihtsdo.org/SCT_116717001>	[<http://www.ihtsdo.org/SCT_29703006>]
<http://www.ihtsdo.org/SCT_11672007>	[<http://www.ihtsdo.org/SCT_71851009>]
<http://www.ihtsdo.org/SCT_117012007>	[<http://www.ihtsdo.org/SCT_117010004>]
<http://www.ihtsdo.org/SCT_117013002>	[<http://www.ihtsdo.org/SCT_117010004>]
